Event Number,District,Time Received,Time Dispatched,SHIFT,CALLCODE,Call Code Description 1,Call Type,Priority,UNIT ID,Address,lat,lon
14-179330,W,08/15/2014 07:12:34,08/15/2014 07:14:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,WP13,"Kensington Ave & West Side Ave, Jersey City, New Jersey, USA",,
14-180837,S,08/17/2014 01:28:35,08/17/2014 01:31:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S501,"Linden Ave & Fowler Ave, Jersey City, New Jersey, USA",,
14-180904,W,08/17/2014 03:07:59,08/17/2014 03:09:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,W501,"60 Gardner Ave, Jersey City, New Jersey, USA",40.720709,-74.0704579
14-180963,N,08/17/2014 07:10:02,08/17/2014 07:11:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,N302,"227 Terrace Ave, Jersey City, New Jersey, USA",40.7541573076923,-74.0552093846154
14-181304,E,08/17/2014 18:06:08,08/17/2014 18:07:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,E203,"71 Sussex St, Jersey City, New Jersey, USA",40.7144798913044,-74.0373572608696
14-181642,N,08/18/2014 03:42:40,08/18/2014 03:45:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N401,"160 Lenard St (leonard St), Jersey City, New Jersey, USA",,
14-183893,S,08/21/2014 05:39:52,08/21/2014 05:40:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S201,"209 Danforth Ave, Jersey City, New Jersey, USA",40.6987577941176,-74.0934260294118
14-185399,N,08/23/2014 01:15:01,08/23/2014 01:16:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N301,"28.30 Sherman Pl, Jersey City, New Jersey, USA",40.745986,-74.0573749
14-185414,N,08/23/2014 01:43:31,08/23/2014 01:44:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N401,"134 Charles St, Jersey City, New Jersey, USA",40.7499519230769,-74.0529764615385
14-190619,N,08/30/2014 01:18:29,08/30/2014 01:19:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N601,"677 Liberty Ave, Jersey City, New Jersey, USA",40.759744,-74.050457
14-190675,S,08/30/2014 03:21:12,08/30/2014 03:24:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S401,"Dwight St & Van Cleef St, Jersey City, New Jersey, USA",,
14-191503,N,08/31/2014 06:06:05,08/31/2014 06:09:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N302,"140 Thorne St, Jersey City, New Jersey, USA",40.7509284347826,-74.0535199130435
14-191510,S,08/31/2014 06:43:20,08/31/2014 06:45:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S302,"49 Audubon Ave, Jersey City, New Jersey, USA",40.7084045,-74.088024
14-191550,N,08/31/2014 08:39:19,08/31/2014 08:41:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,N402,"159 Liberty Ave, Jersey City, New Jersey, USA",40.742342,-74.06231
14-191563,W,08/31/2014 09:22:29,08/31/2014 09:23:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,W202,"270 Kearney Ave, Jersey City, New Jersey, USA",40.7102141,-74.0778121
14-192015,W,08/31/2014 20:30:34,08/31/2014 20:32:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,W503,"87 Romaine Ave, Jersey City, New Jersey, USA",40.7328639285714,-74.06920075
14-192151,W,08/31/2014 23:10:07,08/31/2014 23:12:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,W301,"353 Union St, Jersey City, New Jersey, USA",40.7185868414634,-74.0842117073171
14-194606,E,09/04/2014 02:40:24,09/04/2014 02:41:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,E201,"316 3rd St, Jersey City, New Jersey, USA",40.72370175,-74.04861475
14-196731,E,09/06/2014 21:37:10,09/06/2014 21:38:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,E103,"Monmouth St & Mercer St, Jersey City, New Jersey, USA",,
14-196892,S,09/07/2014 02:16:37,09/07/2014 02:17:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S601,"203 Custer Ave, Jersey City, New Jersey, USA",40.6936348450178,-74.0996611993729
14-196983,S,09/07/2014 08:32:22,09/07/2014 08:33:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,S402,"370 Van Nostrand Ave, Jersey City, New Jersey, USA",40.7068060311792,-74.09417745452
14-197071,W,09/07/2014 11:27:52,09/07/2014 11:29:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,W202,"95 Clarke Ave, Jersey City, New Jersey, USA",40.7176873928571,-74.0904547857143
14-197082,S,09/07/2014 11:43:56,09/07/2014 11:45:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,S302,"35 Briarwood Rd, Jersey City, New Jersey, USA",40.6965969130435,-74.1047202173913
14-197133,W,09/07/2014 13:00:01,09/07/2014 13:01:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,W702,"106 Kensington Ave, Jersey City, New Jersey, USA",40.7248517078652,-74.0787098988764
14-197203,W,09/07/2014 15:17:18,09/07/2014 15:19:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,W403,"106 Kensington Ave, Jersey City, New Jersey, USA",40.7248517078652,-74.0787098988764
14-198409,S,09/09/2014 06:30:05,09/09/2014 06:31:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S601,"302 Stegman Pkwy, Jersey City, New Jersey, USA",40.7086402727273,-74.0894658636364
14-199044,N,09/09/2014 23:03:36,09/09/2014 23:04:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N203,"40 Milton Ave, Jersey City, New Jersey, USA",40.74897240625,-74.05234034375
14-199806,S,09/11/2014 03:53:28,09/11/2014 03:54:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S501,"302 Stegman Pkwy, Jersey City, New Jersey, USA",40.7086402727273,-74.0894658636364
14-201248,S,09/13/2014 01:18:37,09/13/2014 01:20:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S401,"302 Stegman Pkwy, Jersey City, New Jersey, USA",40.7086402727273,-74.0894658636364
14-201552,N,09/13/2014 13:21:27,09/13/2014 13:22:00,2,D21.00,HYDRANT PARKING VIOLATION,SI,7,N302,"3710 Kennedy Blvd, Jersey City, New Jersey, USA",,
14-201880,N,09/13/2014 21:51:22,09/13/2014 21:53:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,CESU2,"190 South St, Jersey City, New Jersey, USA",40.7505696923077,-74.0505688461539
14-201880,N,09/13/2014 21:51:22,09/13/2014 21:53:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,N403,"190 South St, Jersey City, New Jersey, USA",40.7505696923077,-74.0505688461539
14-201880,N,09/13/2014 21:51:22,09/13/2014 21:53:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,N301,"190 South St, Jersey City, New Jersey, USA",40.7505696923077,-74.0505688461539
14-202332,E,09/14/2014 14:46:02,09/14/2014 14:47:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,E402,"225 Grand St, Jersey City, New Jersey, USA",40.7158757142857,-74.0439442857143
14-204058,N,09/16/2014 23:39:11,09/16/2014 23:40:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N401,"227 Terrace Ave, Jersey City, New Jersey, USA",40.7541573076923,-74.0552093846154
14-204075,W,09/17/2014 00:19:12,09/17/2014 00:20:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,WCFEW,"197 Mallory Ave, Jersey City, New Jersey, USA",40.720961,-74.0863387222222
14-205873,W,09/19/2014 15:25:11,09/19/2014 15:27:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,WMC1,"199 Summit Ave, Jersey City, New Jersey, USA",40.7219265,-74.065807
14-207233,N,09/21/2014 07:32:52,09/21/2014 07:34:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,N302,"351 Palisade Ave, Jersey City, New Jersey, USA",40.7407457777778,-74.046508
14-207259,S,09/21/2014 08:31:03,09/21/2014 08:32:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,S602,"356 Stegman Pkwy, Jersey City, New Jersey, USA",40.709783,-74.0911766
14-207274,E,09/21/2014 09:15:23,09/21/2014 09:17:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,E302,"Grove St & Grand St, Jersey City, New Jersey, USA",,
14-207307,E,09/21/2014 10:42:21,09/21/2014 10:46:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,E502,"150 Marin Blvd, Jersey City, New Jersey, USA",40.732214,-74.0393589
14-207482,N,09/21/2014 16:13:00,09/21/2014 16:14:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,N603,"788 Newark Ave, Jersey City, New Jersey, USA",40.735576,-74.064312
14-209154,W,09/23/2014 23:31:32,09/23/2014 23:33:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,W501,"39 Madison Ave, Jersey City, New Jersey, USA",40.71542824,-74.07286544
14-209914,N,09/24/2014 23:13:43,09/24/2014 23:14:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N401,"78 Beacon Ave, Jersey City, New Jersey, USA",40.73636825,-74.05345925
14-209973,W,09/25/2014 02:21:11,09/25/2014 02:22:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,WCFEW,"10 Smith St, Jersey City, New Jersey, USA",40.7287370833333,-74.0663640833333
14-210609,E,09/25/2014 23:30:30,09/25/2014 23:31:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,E201,"22 Westervelt Pl, Jersey City, New Jersey, USA",40.716795,-74.0668669
14-212215,S,09/27/2014 22:28:36,09/27/2014 22:30:00,3,D21.00,HYDRANT PARKING VIOLATION,911,7,S201,"35 Briarwood Rd, Jersey City, New Jersey, USA",40.6965969130435,-74.1047202173913
14-212360,N,09/28/2014 00:41:35,09/28/2014 00:42:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N201,"134 Charles St, Jersey City, New Jersey, USA",40.7499519230769,-74.0529764615385
14-212672,S,09/28/2014 14:24:44,09/28/2014 14:25:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,S502,"Gates Ave & Kennedy Blvd, Jersey City, New Jersey, USA",,
14-214528,N,09/30/2014 23:32:08,09/30/2014 23:33:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N101,"132 St Pauls Ave, Jersey City, New Jersey, USA",40.7374442384477,-74.0594900885338
14-214598,E,10/01/2014 04:53:52,10/01/2014 04:55:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,E401,"Varick St & Mercer St, Jersey City, New Jersey, USA",,
14-214602,E,10/01/2014 05:39:18,10/01/2014 05:40:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,E401,"Varick St & Mercer St, Jersey City, New Jersey, USA",,
14-214770,W,10/01/2014 11:35:37,10/01/2014 11:37:00,2,D21.00,HYDRANT PARKING VIOLATION,SI,7,W602,"Glenwood Ave & Kennedy Blvd, Jersey City, New Jersey, USA",,
14-215373,S,10/02/2014 02:31:13,10/02/2014 02:33:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S301,"183 Arlington Ave, Jersey City, New Jersey, USA",40.708823875,-74.074628125
14-215397,N,10/02/2014 04:48:46,10/02/2014 04:50:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N601,"145 New York Ave, Jersey City, New Jersey, USA",40.7411551,-74.047284
14-216209,W,10/03/2014 04:41:07,10/03/2014 04:42:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,W401,"59 Garrison Ave, Jersey City, New Jersey, USA",40.7310015,-74.069296125
14-217148,N,10/04/2014 06:09:29,10/04/2014 06:11:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N201,"237 Columbia Ave, Jersey City, New Jersey, USA",40.7560575714286,-74.0518138571429
14-217403,N,10/04/2014 15:18:41,10/04/2014 15:21:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,N503,"292 North St, Jersey City, New Jersey, USA",40.7561592,-74.0542036
14-217708,N,10/04/2014 22:47:04,10/04/2014 22:48:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,N301,"66 Liberty Ave, Jersey City, New Jersey, USA",40.7381107105627,-74.0643823760887
14-217749,E,10/04/2014 23:52:31,10/04/2014 23:53:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,E301,"3rd St & Coles St, Jersey City, New Jersey, USA",,
14-219870,S,10/07/2014 23:12:36,10/07/2014 23:13:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S403,"14 Cator Ave, Jersey City, New Jersey, USA",40.6934656666667,-74.087607
14-219933,E,10/08/2014 01:56:14,10/08/2014 01:57:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,E101,"56 Monitor St, Jersey City, New Jersey, USA",40.7110368125,-74.0588781875
14-221374,W,10/09/2014 22:51:23,10/09/2014 22:52:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,W101,"24 Bentley Ave, Jersey City, New Jersey, USA",40.71996975,-74.07474425
14-222113,E,10/10/2014 23:01:07,10/10/2014 23:02:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,E301,"150 Bay St, Jersey City, New Jersey, USA",40.7207618333333,-74.039842
14-222568,E,10/11/2014 18:25:46,10/11/2014 18:26:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,E203,"42 Westervelt Pl, Jersey City, New Jersey, USA",40.716795,-74.0668669
14-222601,W,10/11/2014 19:16:48,10/11/2014 19:18:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,W703,"26 Yale Ave, Jersey City, New Jersey, USA",40.7158702,-74.088253
14-222771,S,10/11/2014 23:35:03,10/11/2014 23:36:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S301,"14 Cator Ave, Jersey City, New Jersey, USA",40.6934656666667,-74.087607
14-223269,W,10/12/2014 19:51:31,10/12/2014 19:52:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,W203,"24 Bentley Ave, Jersey City, New Jersey, USA",40.71996975,-74.07474425
14-223295,W,10/12/2014 20:42:02,10/12/2014 20:43:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,W603,"298 Ege Ave, Jersey City, New Jersey, USA",40.7172502553192,-74.087694106383
14-223298,N,10/12/2014 20:45:24,10/12/2014 20:46:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,N303,"98 Waverly St, Jersey City, New Jersey, USA",40.738397,-74.0519979
14-224030,E,10/14/2014 00:35:14,10/14/2014 00:36:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,E301,"55 Monitor St, Jersey City, New Jersey, USA",40.7112546842105,-74.0588931052632
14-226702,W,10/17/2014 16:10:20,10/17/2014 16:11:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,W503,"19 Crescent Ave, Jersey City, New Jersey, USA",40.7162592,-74.0713244
14-227056,W,10/17/2014 23:20:45,10/17/2014 23:21:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,W201,"112 Fairview Ave, Jersey City, New Jersey, USA",40.723860384639,-74.0729770741669
14-227056,W,10/17/2014 23:20:45,10/17/2014 23:21:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,W401,"112 Fairview Ave, Jersey City, New Jersey, USA",40.723860384639,-74.0729770741669
14-227136,E,10/18/2014 02:33:01,10/18/2014 02:34:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,E201,"242 Suydam Ave, Jersey City, New Jersey, USA",40.7089442857143,-74.0614147142857
14-227188,S,10/18/2014 06:13:20,10/18/2014 06:16:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S201,"Danforth Ave & Old Bergen Rd, Jersey City, New Jersey, USA",,
14-227680,S,10/18/2014 21:40:56,10/18/2014 21:41:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,S603,"35 Briarwood Rd, Jersey City, New Jersey, USA",40.6965969130435,-74.1047202173913
14-227953,N,10/19/2014 08:16:23,10/19/2014 08:17:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,N502,"78 Beacon Ave, Jersey City, New Jersey, USA",40.73636825,-74.05345925
14-228182,E,10/19/2014 16:30:12,10/19/2014 16:31:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,E403,"7th St & Monmouth St, Jersey City, New Jersey, USA",,
14-228206,N,10/19/2014 17:35:53,10/19/2014 17:37:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,N503,"52 Sherman Ave, Jersey City, New Jersey, USA",40.7425236666667,-74.0481669444444
14-228323,W,10/19/2014 21:48:11,10/19/2014 21:49:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,W403,"24 Bentley Ave, Jersey City, New Jersey, USA",40.71996975,-74.07474425
14-231964,W,10/25/2014 02:54:58,10/25/2014 02:56:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,W301,"324 Ege Ave, Jersey City, New Jersey, USA",40.717724893617,-74.0885808723404
14-232524,N,10/25/2014 21:08:35,10/25/2014 21:10:00,3,D21.00,HYDRANT PARKING VIOLATION,SI,7,N103,"11 Skillman Ave, Jersey City, New Jersey, USA",40.7366455,-74.0639660555556
14-232614,E,10/25/2014 23:13:21,10/25/2014 23:14:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,E501,"3rd St & Coles St, Jersey City, New Jersey, USA",,
14-232766,W,10/26/2014 03:58:02,10/26/2014 03:58:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,W101,"32 Gardner Ave, Jersey City, New Jersey, USA",40.720709,-74.0704579
14-232784,E,10/26/2014 04:40:16,10/26/2014 04:43:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,E301,"359 Van Horne St, Jersey City, New Jersey, USA",40.7159554417584,-74.0592414406107
14-232813,S,10/26/2014 07:30:34,10/26/2014 07:32:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,S102,"302 Stegman Pkwy, Jersey City, New Jersey, USA",40.7086402727273,-74.0894658636364
14-232850,W,10/26/2014 10:27:51,10/26/2014 10:29:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,W402,"32 Gardner Ave 34, Jersey City, New Jersey, USA",,
14-233086,E,10/26/2014 17:44:15,10/26/2014 17:45:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,E603,"140 Bay St, Jersey City, New Jersey, USA",40.72086795,-74.0391314267466
14-233290,N,10/26/2014 23:11:09,10/26/2014 23:12:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N101,"277 Terrace Ave, Jersey City, New Jersey, USA",40.7557412820513,-74.0541497692308
14-233302,N,10/26/2014 23:47:46,10/26/2014 23:49:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N301,"98 Waverly St, Jersey City, New Jersey, USA",40.738397,-74.0519979
14-233902,S,10/27/2014 22:39:42,10/27/2014 22:41:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,S803,"35 Briarwood Rd, Jersey City, New Jersey, USA",40.6965969130435,-74.1047202173913
14-233950,W,10/28/2014 01:59:37,10/28/2014 02:02:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,WDG,"24 Bentley Ave, Jersey City, New Jersey, USA",40.71996975,-74.07474425
14-234464,E,10/28/2014 21:30:59,10/28/2014 21:32:00,3,D21.00,HYDRANT PARKING VIOLATION,SI,7,ESGT,"129 Clifton Pl, Jersey City, New Jersey, USA",40.721624,-74.064857
14-235259,N,10/29/2014 23:30:19,10/29/2014 23:31:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N501,"277 Terrace Ave, Jersey City, New Jersey, USA",40.7557412820513,-74.0541497692308
14-235320,N,10/30/2014 05:05:02,10/30/2014 05:06:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N101,"145 New York Ave, Jersey City, New Jersey, USA",40.7411551,-74.047284
14-236051,W,10/31/2014 01:17:32,10/31/2014 01:18:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,W201,"24 Bentley Ave, Jersey City, New Jersey, USA",40.71996975,-74.07474425
14-237584,W,11/02/2014 01:50:09,11/02/2014 01:51:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,W601,"24 Bentley Ave, Jersey City, New Jersey, USA",40.71996975,-74.07474425
14-237640,E,11/02/2014 03:47:49,11/02/2014 03:49:00,1,D21.00,HYDRANT PARKING VIOLATION,SI,7,E501,"700 Grove St, Jersey City, New Jersey, USA",40.7357623898305,-74.0403936610169
14-237681,N,11/02/2014 08:02:45,11/02/2014 08:04:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,N202,"Bowers St & Milton Ave, Jersey City, New Jersey, USA",,
14-237699,N,11/02/2014 08:43:56,11/02/2014 08:46:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,N702,"317 Sherman Ave, Jersey City, New Jersey, USA",40.7505858125,-74.0434140625
14-237764,W,11/02/2014 11:12:34,11/02/2014 11:13:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,W402,"56 Glenwood Ave, Jersey City, New Jersey, USA",40.727179,-74.069779
14-237822,S,11/02/2014 12:57:42,11/02/2014 12:59:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,S302,"212 Bartholdi Ave, Jersey City, New Jersey, USA",40.6992341041925,-74.0987254694025
